scans,schedul*,span,,,,,,,despair*,grinn*,grim*,,
scent*,season*,spann*,,,,,,,desperat*,grins,gross*,,
scratch*,seconds,stair*,,,,,,,despis*,ha,grouch*,,
scream*,senior*,straight,,,,,,,destroy*,haha*,grr*,,
screen,september*,street*,,,,,,,destruct*,handsom*,guilt*,,
scrumptious*,sequen*,stretch*,,,,,,,determina*,happi*,harass*,,
see,simultaneous*,surfac*,,,,,,,determined,happy,harm,,
seeing,slow*,surround*,,,,,,,devastat*,harmless*,harmed,,
seen,sometime ,tall,,,,,,,devil*,harmon*,harmful*,,
seer,sometimes,taller,,,,,,,devot*,heartfelt,harming,,
sees,soon,tallest,,,,,,,difficult*,heartwarm*,harms,,
sharp*,soone*,territor*,,,,,,,digni*,heaven*,hate,,
shine,sped,thick*,,,,,,,disadvantage*,heh*,hated,,
shini*,speed*,thin,,,,,,,disagree*,helper*,hateful*,,
shiny,spring,thinly,,,,,,,disappoint*,helpful*,hater*,,
shout*,start,thinn*,,,,,,,disaster*,helping,hates,,
sight*,started,tinier,,,,,,,discomfort*,helps,hating,,
silen*,starter*,tiniest,,,,,,,discourag*,hero*,hatred,,
silk*,starting,tiny,,,,,,,disgust*,hilarious,heartbreak*,,
skin,starts,together,,,,,,,dishearten*,hoho*,heartbroke*,,
skin'*,startup*,top,,,,,,,disillusion*,honest*,heartless*,,
smell*,still,toward*,,,,,,,dislike,honor*,hell,,
smooth*,stop,town,,,,,,,disliked,honour*,hellish,,
sniff*,stopped,under,,,,,,,dislikes,hope,helpless*,,
snort*,stopper*,underneath,,,,,,,disliking,hoped,hesita*,,
soft*,stopping,undersid*,,,,,,,dismay*,hopeful,homesick*,,
song*,stops,universe*,,,,,,,dissatisf*,hopefully,hopeless*,,
sound*,subsequen*,up,,,,,,,distract*,hopefulness,horr*,,
sour,sudden*,upon,,,,,,,distraught,hopes,hostil*,,
soure*,summer*,upper,,,,,,,distress*,hoping,humiliat*,,
souri*,sunday*,uppermost,,,,,,,distrust*,hug ,hurt*,,
sours,synch*,upstairs,,,,,,,disturb*,hugg*,idiot,,
soury,tempora*,vast*,,,,,,,divin*,hugs,ignor*,,
speak,term ,verg*,,,,,,,domina*,humor*,immoral*,,
speaker*,terminat*,vertical*,,,,,,,doom*,humour*,impatien*,,
speaking,then,wall,,,,,,,dork*,hurra*,impersonal,,
speaks,thursday*,walling,,,,,,,doubt*,ideal*,impolite*,,
speech*,til,walls,,,,,,,dread*,importan*,inadequa*,,
spice,till,west*,,,,,,,dull*,impress*,indecis*,,
spiced,time*,where,,,,,,,dumb*,improve*,ineffect*,,
spices,timing,wheres,,,,,,,dump*,improving,inferior* ,,
spicy,today*,where's,,,,,,,dwell*,incentive*,inhib*,,
spoke*,tomorrow*,wherever,,,,,,,dynam*,innocen*,insecur*,,
squar*,tonight*,wide*,,,,,,,eager*,inspir*,insincer*,,
squeez*,tuesday*,width*,,,,,,,ease*,intell*,insult*,,
stank,until,within,,,,,,,easie*,interest*,interrup*,,
stare*,updat*,world,,,,,,,easily,invigor*,intimidat*,,
staring,usual,,,,,,,,easiness,joke*,irrational*,,
stench*,usually,,,,,,,,easing,joking,irrita*,,
stink*,wednesday*,,,,,,,,easy*,joll*,isolat*,,
stroke*,week,,,,,,,,ecsta*,joy*,jaded,,
stroki*,week'*,,,,,,,,efficien*,keen*,jealous*,,
stunk,weekend*,,,,,,,,egotis*,kidding,jerk,,
sugar*,weekl*,,,,,,,,elegan*,kind,jerked,,
sumptuous*,weeks,,,,,,,,embarrass*,kindly,jerks,,
sunli*,when,,,,,,,,emotion,kindn*,kill*,,
sunshin*,whenever,,,,,,,,emotion,kiss*,lame*,,
sweet,while,,,,,,,,emotional,laidback,lazie*,,
sweetness,whilst,,,,,,,,empt*,laugh*,lazy,,
sweets,winter*,,,,,,,,encourag*,libert*,liabilit*,,
tang,year ,,,,,,,,enemie*,like,liar*,,
tangy,yearly,,,,,,,,enemy*,likeab*,lied,,
tart,years,,,,,,,,energ*,liked,lies,,
tast*,yesterday*,,,,,,,,engag*,likes,lone*,,
thick*,yet,,,,,,,,enjoy*,liking,longing*,,
thin,young*,,,,,,,,enrag*,livel*,lose,,
thinn*,youth*,,,,,,,,entertain*,LMAO,loser*,,
thunder*,,,,,,,,,enthus*,LOL,loses,,
tight*,,,,,,,,,envie*,love,losing,,
tongue*,,,,,,,,,envious,loved,loss*,,
touch*,,,,,,,,,envy*,lovely,lost,,
triang*,,,,,,,,,evil*,lover*,lous*,,
unsavo*,,,,,,,,,excel*,loves,low*,,
view,,,,,,,,,excit*,loving*,luckless*,,
viewer*,,,,,,,,,excruciat*,loyal*,ludicrous*,,
viewing*,,,,,,,,,exhaust*,luck,lying,,
views,,,,,,,,,fab,lucked,mad,,
vivid*,,,,,,,,,fabulous*,lucki*,maddening,,
voic*,,,,,,,,,fail*,lucks,madder,,
waft*,,,,,,,,,faith*,lucky,maddest,,
warm*,,,,,,,,,fake,madly,maniac*,,
watch*,,,,,,,,,fantastic*,magnific*,masochis*,,
weight,,,,,,,,,fatal*,merit*,melanchol*,,
weighted,,,,,,,,,fatigu*,merr*,mess,,
weighting,,,,,,,,,fault*,neat*,messy,,
weightless*,,,,,,,,,favor*,nice*,miser*,,
weightlift*,,,,,,,,,favour*,nurtur*,miss,,
weights,,,,,,,,,fear,ok,missed,,
wet,,,,,,,,,feared,okay,misses,,
wetly,,,,,,,,,fearful*,okays,missing,,
whiff*,,,,,,,,,fearing,oks,mistak*,,
whisper*,,,,,,,,,fearless*,openminded*,mock,,
white*,,,,,,,,,fears,openness,mocked,,
whitish*,,,,,,,,,feroc*,opportun*,mocker*,,
yell,,,,,,,,,festiv*,optimal*,mocking,,
yelled,,,,,,,,,feud*,optimi*,mocks,,
yelling,,,,,,,,,fiery,original,molest*,,
yellow*,,,,,,,,,fiesta*,outgoing,mooch*,,
yells,,,,,,,,,fight*,painl*,moodi*,,
yum*,,,,,,,,,fine,palatabl*,moody,,
,,,,,,,,,fired,paradise,moron*,,
,,,,,,,,,flatter*,partie*,mourn*,,
,,,,,,,,,flawless*,party*,murder*,,
,,,,,,,,,flexib*,passion*,nag*,,
,,,,,,,,,flirt*,peace*,nast*,,
,,,,,,,,,flunk*,perfect*,needy,,
,,,,,,,,,foe*,play,neglect*,,
,,,,,,,,,fond,played,nerd*,,
,,,,,,,,,fondly,playful*,nervous*,,
,,,,,,,,,fondness,playing,neurotic*,,
,,,,,,,,,fool*,plays,numb*,,
,,,,,,,,,forbid*,pleasant*,obnoxious*,,
,,,,,,,,,forgave,please*,obsess*,,
,,,,,,,,,forgiv*,pleasing,offence*,,
,,,,,,,,,fought,pleasur*,offend*,,
,,,,,,,,,frantic*,popular*,offens*,,
,,,,,,,,,freak*,positiv*,outrag*,,
,,,,,,,,,free,prais*,overwhelm*,,
,,,,,,,,,freeb*,precious*,pain,,
,,,,,,,,,freed*,prettie*,pained,,
,,,,,,,,,freeing,pretty,painf*,,
,,,,,,,,,freely,pride,paining,,
,,,,,,,,,freeness,privileg*,pains,,
,,,,,,,,,freer,prize*,panic*,,
,,,,,,,,,frees*,profit*,paranoi*,,
,,,,,,,,,friend*,promis*,pathetic*,,
,,,,,,,,,fright*,proud*,peculiar*,,
,,,,,,,,,frustrat*,radian*,perver*,,
,,,,,,,,,fuck,readiness,pessimis*,,
,,,,,,,,,fucked*,ready,petrif*,,
,,,,,,,,,fucker*,reassur*,pettie*,,
,,,,,,,,,fuckin*,relax*,petty*,,
,,,,,,,,,fucks,relief,phobi*,,
,,,,,,,,,fume*,reliev*,piss*,,
,,,,,,,,,fuming,resolv*,piti*,,
,,,,,,,,,fun,respect ,pity* ,,
,,,,,,,,,funn*,revigor*,poison*,,
,,,,,,,,,furious*,reward*,prejudic*,,
,,,,,,,,,fury,rich*,pressur*,,
,,,,,,,,,geek*,ROFL,prick*,,
,,,,,,,,,genero*,romanc*,problem*,,
,,,,,,,,,gentle,romantic*,protest,,
,,,,,,,,,gentler,safe*,protested,,
,,,,,,,,,gentlest,satisf*,protesting,,
,,,,,,,,,gently,save,puk*,,
,,,,,,,,,giggl*,scrumptious*,punish*,,
,,,,,,,,,giver*,secur*,rage*,,
,,,,,,,,,giving,sentimental*,raging,,
,,,,,,,,,glad,share,rancid*,,
,,,,,,,,,gladly,shared,rape*,,
,,,,,,,,,glamor*,shares,raping,,
,,,,,,,,,glamour*,sharing,rapist*,,
,,,,,,,,,gloom*,silli*,rebel*,,
,,,,,,,,,glori*,silly,reek*,,
,,,,,,,,,glory,sincer*,regret*,,
,,,,,,,,,goddam*,smart*,reject*,,
,,,,,,,,,good,smil*,reluctan*,,
,,,,,,,,,goodness,sociab*,remorse*,,
,,,,,,,,,gorgeous*,soulmate*,repress*,,
,,,,,,,,,gossip*,special,resent*,,
,,,,,,,,,grace,splend*,resign*,,
,,,,,,,,,graced,strength*,restless*,,
,,,,,,,,,graceful*,strong*,revenge*,,
,,,,,,,,,graces,succeed*,ridicul*,,
,,,,,,,,,graci*,success*,rigid*,,
,,,,,,,,,grand,sunnier,risk*,,
,,,,,,,,,grande*,sunniest,rotten,,
,,,,,,,,,gratef*,sunny,rude*,,
,,,,,,,,,grati*,sunshin*,ruin*,,
,,,,,,,,,grave*,super,sad,,
,,,,,,,,,great,superior*,sadde*,,
,,,,,,,,,greed*,support,sadly,,
,,,,,,,,,grief,supported,sadness,,
,,,,,,,,,griev*,supporter*,sarcas*,,
,,,,,,,,,grim*,supporting,savage*,,
,,,,,,,,,grin,supportive*,scare*,,
,,,,,,,,,grinn*,supports,scaring,,
,,,,,,,,,grins,suprem*,scary,,
,,,,,,,,,gross*,sure*,sceptic*,,
,,,,,,,,,grouch*,surpris*,scream*,,
,,,,,,,,,grr*,sweet,screw*,,
,,,,,,,,,guilt*,sweetheart*,selfish*,,
,,,,,,,,,ha,sweetie*,serious,,
,,,,,,,,,haha*,sweetly,seriously,,
,,,,,,,,,handsom*,sweetness*,seriousness,,
,,,,,,,,,happi*,sweets,severe*,,
,,,,,,,,,happy,talent*,shake*,,
,,,,,,,,,harass*,tehe,shaki*,,
,,,,,,,,,harm,tender*,shaky,,
,,,,,,,,,harmed,terrific*,shame*,,
,,,,,,,,,harmful*,thank,shit*,,
,,,,,,,,,harming,thanked,shock*,,
,,,,,,,,,harmless*,thankf*,shook,,
,,,,,,,,,harmon*,thanks,shy*,,
,,,,,,,,,harms,thoughtful*,sicken*,,
,,,,,,,,,hate,thrill*,sin,,
,,,,,,,,,hated,toleran*,sinister,,
,,,,,,,,,hateful*,tranquil*,sins,,
,,,,,,,,,hater*,treasur*,skeptic*,,
,,,,,,,,,hates,treat,slut*,,
,,,,,,,,,hating,triumph*,smother*,,
,,,,,,,,,hatred,true ,smug*,,
,,,,,,,,,hazy,trueness,snob*,,
,,,,,,,,,heartbreak*,truer,sob,,
,,,,,,,,,heartbroke*,truest,sobbed,,
,,,,,,,,,heartfelt,truly,sobbing,,
,,,,,,,,,heartless*,trust*,sobs,,
,,,,,,,,,heartwarm*,truth*,solemn*,,
,,,,,,,,,heaven*,useful*,sorrow*,,
,,,,,,,,,heh*,valuabl*,sorry,,
,,,,,,,,,hell,value,spite*,,
,,,,,,,,,hellish,valued,stammer*,,
,,,,,,,,,helper*,values,stank,,
,,,,,,,,,helpful*,valuing,startl*,,
,,,,,,,,,helping,vigor*,steal*,,
,,,,,,,,,helpless*,vigour*,stench*,,
,,,,,,,,,helps,virtue*,stink*,,
,,,,,,,,,hero*,virtuo*,strain*,,
,,,,,,,,,hesita*,vital*,strange,,
,,,,,,,,,hilarious,warm*,stress*,,
,,,,,,,,,hoho*,wealth*,struggl*,,
,,,,,,,,,homesick*,welcom*,stubborn*,,
,,,,,,,,,honest*,well*,stunk,,
,,,,,,,,,honor*,win,stunned,,
,,,,,,,,,honour*,winn*,stuns,,
,,,,,,,,,hope,wins,stupid*,,
,,,,,,,,,hoped,wisdom,stutter*,,
,,,,,,,,,hopeful,wise*,submissive*,,
,,,,,,,,,hopefully,won,suck,,
,,,,,,,,,hopefulness,wonderf*,sucked,,
,,,,,,,,,hopeless*,worship*,sucker*,,
,,,,,,,,,hopes,worthwhile,sucks,,
,,,,,,,,,hoping,wow*,sucky,,
,,,,,,,,,horr*,yay,suffer,,
,,,,,,,,,hostil*,yays,suffered,,
,,,,,,,,,hug,,sufferer*,,
,,,,,,,,,hugg*,,suffering,,
,,,,,,,,,hugs,,suffers,,
,,,,,,,,,humiliat*,,suspicio*,,
,,,,,,,,,humor*,,tantrum*,,
,,,,,,,,,humour*,,tears,,
,,,,,,,,,hurra*,,teas*,,
,,,,,,,,,hurt*,,temper,,
,,,,,,,,,ideal*,,tempers,,
,,,,,,,,,idiot,,tense*,,
,,,,,,,,,ignor*,,tensing,,
,,,,,,,,,immoral*,,tension*,,
,,,,,,,,,impatien*,,terribl*,,
,,,,,,,,,impersonal,,terrified,,
,,,,,,,,,impolite*,,terrifies,,
,,,,,,,,,importan*,,terrify,,
,,,,,,,,,impress*,,terrifying,,
,,,,,,,,,improve*,,terror*,,
,,,,,,,,,improving,,thief,,
,,,,,,,,,inadequa*,,thieve*,,
,,,,,,,,,incentive*,,threat*,,
,,,,,,,,,indecis*,,ticked,,
,,,,,,,,,ineffect*,,timid*,,
,,,,,,,,,inferior* ,,tortur*,,
,,,,,,,,,inhib*,,tough*,,
,,,,,,,,,innocen*,,traged*,,
,,,,,,,,,insecur*,,tragic* ,,
,,,,,,,,,insincer*,,trauma*,,
,,,,,,,,,inspir*,,trembl*,,
,,,,,,,,,insult*,,trick*,,
,,,,,,,,,intell*,,trite,,
,,,,,,,,,interest*,,trivi*,,
,,,,,,,,,interrup*,,troubl*,,
,,,,,,,,,intimidat*,,turmoil,,
,,,,,,,,,invigor*,,ugh,,
,,,,,,,,,irrational*,,ugl*,,
,,,,,,,,,irrita*,,unattractive,,
,,,,,,,,,isolat*,,uncertain*,,
,,,,,,,,,jaded,,uncomfortabl*,,
,,,,,,,,,jealous*,,uncontrol*,,
,,,,,,,,,jerk,,uneas*,,
,,,,,,,,,jerked,,unfortunate*,,
,,,,,,,,,jerks,,unfriendly,,
,,,,,,,,,joke*,,ungrateful*,,
,,,,,,,,,joking,,unhapp*,,
,,,,,,,,,joll*,,unimportant,,
,,,,,,,,,joy*,,unimpress*,,
,,,,,,,,,keen*,,unkind,,
